UberSELECT,-5.79345290695639,-35.22648230061616,Quintas,2017-11-04 13:24:18.107557,540
uberX,-5.798551307961666,-35.22750096647225,Quintas,2017-11-04 13:24:20.362398,300
UberSELECT,-5.798551307961666,-35.22750096647225,Quintas,2017-11-04 13:24:21.172528,600
uberX,-5.81178356735159,-35.23941607065235,Bom Pastor,2017-11-04 13:24:23.152041,180
UberSELECT,-5.81178356735159,-35.23941607065235,Bom Pastor,2017-11-04 13:24:24.401626,540
uberX,-5.806300159263189,-35.232542727445896,Bom Pastor,2017-11-04 13:24:26.203641,300
UberSELECT,-5.806300159263189,-35.232542727445896,Bom Pastor,2017-11-04 13:24:27.000025,540
uberX,-5.8064517493143875,-35.22846056820603,Dix-Sept Rosado,2017-11-04 13:24:28.793305,240
UberSELECT,-5.8064517493143875,-35.22846056820603,Dix-Sept Rosado,2017-11-04 13:24:29.543834,420
uberX,-5.8135651154806025,-35.224656203836375,Dix-Sept Rosado,2017-11-04 13:24:31.390121,300
UberSELECT,-5.8135651154806025,-35.224656203836375,Dix-Sept Rosado,2017-11-04 13:24:32.167108,420
uberX,-5.81862984508256,-35.237253275951964,Nossa Senhora de Nazaré,2017-11-04 13:24:34.200641,180
UberSELECT,-5.81862984508256,-35.237253275951964,Nossa Senhora de Nazaré,2017-11-04 13:24:34.963165,660
uberX,-5.812338375160152,-35.232726078208195,Nossa Senhora de Nazaré,2017-11-04 13:24:36.756318,180
UberSELECT,-5.812338375160152,-35.232726078208195,Nossa Senhora de Nazaré,2017-11-04 13:24:37.506699,480
uberX,-5.825058983204537,-35.22071240701516,Lagoa Nova,2017-11-04 13:24:39.297552,120
UberSELECT,-5.825058983204537,-35.22071240701516,Lagoa Nova,2017-11-04 13:24:40.062675,420
uberX,-5.813925759353699,-35.222141705404624,Lagoa Nova,2017-11-04 13:24:41.862539,240
UberSELECT,-5.813925759353699,-35.222141705404624,Lagoa Nova,2017-11-04 13:24:42.590417,420
uberX,-5.794385122184811,-35.18961657679891,Mãe Luiza,2017-11-04 13:24:44.723137,420
uberX,-5.794679252407189,-35.18439805976146,Mãe Luiza,2017-11-04 13:24:47.315685,480
uberX,-5.82929865141167,-35.19595167668678,Nova Descoberta,2017-11-04 13:24:49.837910,180
UberSELECT,-5.82929865141167,-35.19595167668678,Nova Descoberta,2017-11-04 13:24:50.622844,540
uberX,-5.828068551035583,-35.1978875668958,Nova Descoberta,2017-11-04 13:24:52.586449,180
UberSELECT,-5.828068551035583,-35.1978875668958,Nova Descoberta,2017-11-04 13:24:53.420846,540
uberX,-5.812000259498144,-35.196095368003775,Tirol,2017-11-04 13:24:55.412131,360
UberSELECT,-5.812000259498144,-35.196095368003775,Tirol,2017-11-04 13:24:56.172498,420
uberX,-5.80647698119807,-35.20568664658693,Tirol,2017-11-04 13:24:57.985844,120
UberSELECT,-5.80647698119807,-35.20568664658693,Tirol,2017-11-04 13:24:58.746793,180
uberX,-5.784864705835932,-35.2006066897435,Petrópolis,2017-11-04 13:25:00.469654,300
UberSELECT,-5.784864705835932,-35.2006066897435,Petrópolis,2017-11-04 13:25:01.213296,480
uberX,-5.785194586104674,-35.19999633770861,Petrópolis,2017-11-04 13:25:03.013502,300
UberSELECT,-5.785194586104674,-35.19999633770861,Petrópolis,2017-11-04 13:25:03.861684,420
uberX,-5.786928280162863,-35.19238779663316,Areia Preta,2017-11-04 13:25:05.645719,480
UberSELECT,-5.786928280162863,-35.19238779663316,Areia Preta,2017-11-04 13:25:06.424517,540
uberX,-5.7867594051418365,-35.1914368035198,Areia Preta,2017-11-04 13:25:08.406224,420
uberX,-5.842782449966157,-35.239089508876184,Cidade Nova,2017-11-04 13:25:11.148160,180
uberX,-5.838698806478956,-35.24069985219427,Cidade Nova,2017-11-04 13:25:13.635357,180
uberX,-5.8300904657158865,-35.2356879351203,Cidade da Esperança,2017-11-04 13:25:16.160618,240
UberSELECT,-5.8300904657158865,-35.2356879351203,Cidade da Esperança,2017-11-04 13:25:17.175782,720
uberX,-5.824921902761413,-35.240311163724655,Cidade da Esperança,2017-11-04 13:25:19.395364,360
UberSELECT,-5.824921902761413,-35.240311163724655,Cidade da Esperança,2017-11-04 13:25:20.128599,840
uberX,-5.816228604851217,-35.26357180089802,Felipe Camarão,2017-11-04 13:25:22.090821,420
UberSELECT,-5.816228604851217,-35.26357180089802,Felipe Camarão,2017-11-04 13:25:22.843183,960
uberX,-5.823604175397193,-35.26095372172214,Felipe Camarão,2017-11-04 13:25:24.582106,360
UberSELECT,-5.823604175397193,-35.26095372172214,Felipe Camarão,2017-11-04 13:25:25.506481,1020
uberX,-5.838462106512129,-35.253917538353555,Guarapes,2017-11-04 13:25:27.244981,360
UberSELECT,-5.838462106512129,-35.253917538353555,Guarapes,2017-11-04 13:25:28.016976,540
uberX,-5.85174675777671,-35.27657689238646,Guarapes,2017-11-04 13:25:29.798036,480
UberSELECT,-5.85174675777671,-35.27657689238646,Guarapes,2017-11-04 13:25:30.562639,720
